Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Adj Close,Real Dividend,Real Earnings,PE10
1980-01-01,110.9,5.7,15.0,77.8,10.8,356.13,18.3,48.18,8.85
1980-02-01,115.3,5.75,15.15,78.9,12.41,365.1,18.21,47.96,9.05
1980-03-01,104.7,5.8,15.29,80.1,12.75,326.56,18.09,47.69,8.08
1980-04-01,103.0,5.85,15.17,81.0,11.47,317.69,18.03,46.8,7.84
1980-05-01,107.7,5.89,15.06,81.8,10.18,328.94,18.0,45.99,8.1
1980-06-01,114.6,5.94,14.94,82.7,9.78,346.2,17.94,45.13,8.51
1980-07-01,119.8,5.98,14.84,82.7,10.25,361.91,18.08,44.83,8.88
1980-08-01,123.5,6.03,14.74,83.3,11.1,370.4,18.08,44.21,9.07
1980-09-01,126.5,6.07,14.64,84.0,11.51,376.24,18.05,43.54,9.2
1980-10-01,130.2,6.1,14.7,84.8,11.75,383.59,17.97,43.31,9.36
1980-11-01,135.7,6.13,14.76,85.5,12.68,396.52,17.91,43.13,9.65
1980-12-01,133.5,6.16,14.82,86.3,12.84,386.48,17.83,42.9,9.39
1981-01-01,133.0,6.2,14.74,87.0,12.57,381.93,17.8,42.33,9.26
1981-02-01,128.4,6.24,14.66,87.9,13.19,364.95,17.74,41.67,8.83
1981-03-01,133.2,6.28,14.58,88.5,13.12,376.02,17.73,41.16,9.08
1981-04-01,134.4,6.32,14.72,89.1,13.68,376.86,17.71,41.28,9.09
1981-05-01,131.7,6.35,14.87,89.8,14.1,366.41,17.68,41.36,8.82
1981-06-01,132.3,6.39,15.01,90.6,13.47,364.83,17.62,41.39,8.77
1981-07-01,129.1,6.43,15.1,91.6,14.28,352.12,17.55,41.18,8.45
1981-08-01,129.6,6.48,15.18,92.3,14.94,350.8,17.53,41.1,8.4
1981-09-01,118.3,6.52,15.27,93.2,15.32,317.12,17.48,40.93,7.58
1981-10-01,119.8,6.56,15.3,93.4,15.15,320.45,17.54,40.93,7.65
1981-11-01,122.9,6.59,15.33,93.7,13.39,327.69,17.58,40.87,7.81
1981-12-01,123.8,6.63,15.36,94.0,13.72,329.04,17.62,40.82,7.83
1982-01-01,117.3,6.66,15.18,94.3,14.59,310.77,17.64,40.21,7.39
1982-02-01,114.5,6.69,14.99,94.6,14.43,302.39,17.67,39.6,7.18
1982-03-01,110.8,6.72,14.81,94.5,13.86,292.93,17.77,39.15,6.95
1982-04-01,116.3,6.75,14.6,94.9,13.87,306.17,17.77,38.43,7.26
1982-05-01,116.4,6.78,14.38,95.8,13.62,303.56,17.68,37.51,7.19
1982-06-01,109.7,6.81,14.17,97.0,14.3,282.55,17.54,36.5,6.69
1982-07-01,109.4,6.82,13.97,97.5,13.95,280.33,17.48,35.79,6.64
1982-08-01,109.7,6.84,13.76,97.7,13.06,280.52,17.48,35.2,6.64
1982-09-01,122.4,6.85,13.56,97.9,12.34,312.36,17.48,34.6,7.4
1982-10-01,132.7,6.86,13.25,98.2,10.91,337.61,17.44,33.72,8.0
1982-11-01,138.1,6.86,12.95,98.0,10.55,352.06,17.5,33.01,8.35
1982-12-01,139.4,6.87,12.64,97.6,10.54,356.83,17.59,32.36,8.47
1983-01-01,144.3,6.88,12.57,97.8,10.46,368.62,17.58,32.1,8.76
1983-02-01,146.8,6.9,12.49,97.9,10.72,374.63,17.6,31.88,8.91
1983-03-01,151.9,6.91,12.42,97.9,10.51,387.64,17.63,31.7,9.23
1983-04-01,157.7,6.92,12.48,98.6,10.4,399.58,17.53,31.61,9.53
1983-05-01,164.1,6.93,12.53,99.2,10.38,413.29,17.45,31.57,9.87
1983-06-01,166.4,6.94,12.59,99.5,10.85,417.82,17.43,31.61,10.0
1983-07-01,167.0,6.96,12.83,99.9,11.38,417.64,17.41,32.08,10.01
1983-08-01,162.4,6.98,13.06,100.2,11.85,404.92,17.4,32.57,9.73
1983-09-01,167.2,7.0,13.3,100.7,11.65,414.82,17.37,33.0,9.98
1983-10-01,167.7,7.03,13.54,101.0,11.54,414.83,17.39,33.5,10.0
1983-11-01,165.2,7.06,13.79,101.2,11.69,407.83,17.43,34.04,9.85
1983-12-01,164.4,7.09,14.03,101.3,11.83,405.46,17.49,34.6,9.82
1984-01-01,166.4,7.12,14.44,101.9,11.67,407.97,17.46,35.4,9.89
1984-02-01,157.3,7.15,14.85,102.4,11.84,383.78,17.44,36.23,9.32
1984-03-01,157.4,7.18,15.26,102.6,12.32,383.28,17.48,37.16,9.33
1984-04-01,157.6,7.22,15.57,103.1,12.63,381.9,17.5,37.74,9.31
1984-05-01,156.6,7.27,15.89,103.4,13.41,378.38,17.56,38.39,9.23
1984-06-01,153.1,7.31,16.2,103.7,13.56,368.85,17.61,39.03,9.01
1984-07-01,151.1,7.33,16.32,104.1,13.36,362.63,17.6,39.17,8.87
1984-08-01,164.4,7.36,16.44,104.5,12.72,393.04,17.59,39.3,9.62
1984-09-01,166.1,7.38,16.56,105.0,12.52,395.22,17.56,39.4,9.69
1984-10-01,164.8,7.43,16.59,105.3,12.16,391.01,17.63,39.35,9.6
1984-11-01,166.3,7.48,16.61,105.3,11.57,394.56,17.75,39.42,9.69
1984-12-01,164.5,7.53,16.64,105.3,11.5,390.29,17.87,39.48,9.6
1985-01-01,171.6,7.57,16.56,105.5,11.38,406.37,17.93,39.21,10.0
1985-02-01,180.9,7.62,16.47,106.0,11.51,426.37,17.95,38.83,10.49
1985-03-01,179.4,7.66,16.39,106.4,11.86,421.25,17.99,38.48,10.37
1985-04-01,180.6,7.69,16.13,106.9,11.43,422.08,17.96,37.7,10.4
1985-05-01,184.9,7.71,15.87,107.3,10.85,430.52,17.96,36.95,10.61
1985-06-01,188.9,7.74,15.61,107.6,10.16,438.61,17.97,36.24,10.81
1985-07-01,192.5,7.77,15.48,107.8,10.31,446.13,18.02,35.88,11.0
1985-08-01,188.3,7.81,15.36,108.0,10.33,435.59,18.06,35.52,10.74
1985-09-01,184.1,7.84,15.23,108.3,10.37,424.7,18.09,35.13,10.47
1985-10-01,186.2,7.86,15.02,108.7,10.24,427.96,18.07,34.53,10.55
1985-11-01,197.5,7.88,14.82,109.0,9.78,452.68,18.06,33.96,11.16
1985-12-01,207.3,7.9,14.61,109.3,9.26,473.84,18.06,33.4,11.69
1986-01-01,208.2,7.94,14.58,109.6,9.19,474.6,18.1,33.24,11.72
1986-02-01,219.4,7.98,14.55,109.3,8.7,501.5,18.24,33.26,12.39
1986-03-01,232.3,8.02,14.52,108.8,7.78,533.43,18.42,33.34,13.19
1986-04-01,238.0,8.05,14.58,108.6,7.3,547.52,18.51,33.55,13.55
1986-05-01,238.5,8.07,14.65,108.9,7.71,547.16,18.52,33.6,13.56
1986-06-01,245.3,8.1,14.71,109.5,7.8,559.68,18.48,33.56,13.89
1986-07-01,240.2,8.14,14.76,109.5,7.3,548.04,18.58,33.67,13.62
